epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,0.9074203033000231,0.0,0.0,0.9074203033000231,0.6069266767755116,0.7433410315627406,0.008019740900678593,0.9989741485432909,0.0009984740801978985
2,0.5257151197642088,0.0,0.0,0.5257151197642088,-1.0,-1.0,-1.0,-1.0,0.0009939057285945933
3,0.5131604947149754,0.0,0.0,0.5131604947149754,-1.0,-1.0,-1.0,-1.0,0.00098632311059685
4,0.4777837973088026,0.0,0.0,0.4777837973088026,-1.0,-1.0,-1.0,-1.0,0.0009757729755661011
5,0.4846517078578472,0.0,0.0,0.4846517078578472,0.5791380315858461,0.6672825250192456,0.008019740900678593,0.9995896594173164,0.000962320368593087
6,0.4652198426425457,0.0,0.0,0.4652198426425457,-1.0,-1.0,-1.0,-1.0,0.0009460482294732421
7,0.4635414030402899,0.0,0.0,0.4635414030402899,-1.0,-1.0,-1.0,-1.0,0.0009270568813552756
8,0.43191708959639075,0.0,0.0,0.43191708959639075,-1.0,-1.0,-1.0,-1.0,0.000905463412215599
9,0.4574661314487457,0.0,0.0,0.4574661314487457,-1.0,-1.0,-1.0,-1.0,0.0008814009529720154
10,0.4779344480484724,0.0,0.0,0.4779344480484724,0.5234652382672246,0.7131639722863742,0.008019740900678593,0.9997948297086582,0.000855017856687341
11,0.4202933590859175,0.0,0.0,0.4202933590859175,-1.0,-1.0,-1.0,-1.0,0.000826476783923441
12,0.40585366897284986,0.0,0.0,0.40585366897284986,-1.0,-1.0,-1.0,-1.0,0.0007959536998847741
13,0.38948105536401273,0.0,0.0,0.38948105536401273,-1.0,-1.0,-1.0,-1.0,0.0007636367895343945
14,0.402461820282042,0.0,0.0,0.402461820282042,-1.0,-1.0,-1.0,-1.0,0.0007297252973710755
15,0.36897101644426583,0.0,0.0,0.36897101644426583,0.42857114723134354,0.8372594303310239,0.008019740900678593,0.9997948297086582,0.0006944282990207194
16,0.4160036064684391,0.0,0.0,0.4160036064684391,-1.0,-1.0,-1.0,-1.0,0.0006579634122155989
17,0.41335499510169027,0.0,0.0,0.41335499510169027,-1.0,-1.0,-1.0,-1.0,0.0006205554551086731
18,0.40622860603034494,0.0,0.0,0.40622860603034494,-1.0,-1.0,-1.0,-1.0,0.0005824350601949142
19,0.4000185737386346,0.0,0.0,0.4000185737386346,-1.0,-1.0,-1.0,-1.0,0.0005438372523852832
20,0.3925924595445395,0.0,0.0,0.3925924595445395,0.5868563949281753,0.7461123941493456,0.008019740900678593,0.9981534673779237,0.0005049999999999999
21,0.3949958380311728,0.0,0.0,0.3949958380311728,-1.0,-1.0,-1.0,-1.0,0.0004661627476147167
22,0.3946674507111311,0.0,0.0,0.3946674507111311,-1.0,-1.0,-1.0,-1.0,0.00042756493980508576
23,0.37316794954240323,0.0,0.0,0.37316794954240323,-1.0,-1.0,-1.0,-1.0,0.0003894445448913268
24,0.40277831591665747,0.0,0.0,0.40277831591665747,-1.0,-1.0,-1.0,-1.0,0.000352036587784401
25,0.3516455996781588,0.0,0.0,0.3516455996781588,0.5122479627369182,0.815242494226328,0.00863664404688464,0.9997948297086582,0.0003155717009792805
26,0.3328738959506154,0.0,0.0,0.3328738959506154,-1.0,-1.0,-1.0,-1.0,0.00028027470262892423
27,0.38338846489787104,0.0,0.0,0.38338846489787104,-1.0,-1.0,-1.0,-1.0,0.0002463632104656052
28,0.37553856447339057,0.0,0.0,0.37553856447339057,-1.0,-1.0,-1.0,-1.0,0.00021404630011522574
29,0.3579598691314459,0.0,0.0,0.3579598691314459,-1.0,-1.0,-1.0,-1.0,0.00018352321607655907
30,0.3491212077438831,0.0,0.0,0.3491212077438831,0.4273876252772718,0.8160123171670516,0.008019740900678593,0.9997948297086582,0.00015498214331265893
31,0.36556950192898513,0.0,0.0,0.36556950192898513,-1.0,-1.0,-1.0,-1.0,0.00012859904702798464
32,0.35325350929051635,0.0,0.0,0.35325350929051635,-1.0,-1.0,-1.0,-1.0,0.00010453658778440102
33,0.2943311434239149,0.0,0.0,0.2943311434239149,-1.0,-1.0,-1.0,-1.0,8.294311864472433e-05
34,0.2987449303269386,0.0,0.0,0.2987449303269386,-1.0,-1.0,-1.0,-1.0,6.395177052675792e-05
35,0.3581222876906395,0.0,0.0,0.3581222876906395,0.42629331090617306,0.8207852193995381,0.008019740900678593,0.9997948297086582,4.7679631406913044e-05
36,0.30720664337277415,0.0,0.0,0.30720664337277415,-1.0,-1.0,-1.0,-1.0,3.422702443389899e-05
37,0.29528790693730117,0.0,0.0,0.29528790693730117,-1.0,-1.0,-1.0,-1.0,2.3676889403150102e-05
38,0.3046132601797581,0.0,0.0,0.3046132601797581,-1.0,-1.0,-1.0,-1.0,1.609427140540686e-05
39,0.3107777383178473,0.0,0.0,0.3107777383178473,-1.0,-1.0,-1.0,-1.0,1.1525919802101659e-05
40,0.30082438569515946,0.0,0.0,0.30082438569515946,0.37721821543250844,0.8327944572748268,0.008019740900678593,0.9995896594173164,1e-05
