nohup: ignoring input
/data2/ranran/chenghaoyue/ISGFAN/Data/dataset.py:176: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  cache = torch.load(TEST_DATA_PATH)

Initializing data loaders ...

Loading existing test dataset from /data2/ranran/chenghaoyue/ISGFAN/Data/test_dataset.pt

Data Statistics
Source Train : 2100
Target (no y): 2100
Test (y)     : 2100
2026-03-06 01:41:43,531 - INFO - [Epoch 1/3500] loss_total=2.920539, loss_main=2.306861, loss_diff_source=81.692070, loss_label_inv=2.306096, loss_global_dom=0.695540, loss_recon=1.216070, loss_local_dom=0.000000, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0012, lr=0.00010000, epoch_time=00:00:05, eta=05:28:06
2026-03-06 01:41:43,925 - INFO - [Eval @ Epoch 1/3500] test_loss=2.306291, test_acc=0.1000
2026-03-06 01:42:21,230 - INFO - [Epoch 10/3500] loss_total=2.912899, loss_main=2.304239, loss_diff_source=47.485132, loss_label_inv=2.303947, loss_global_dom=0.693497, loss_recon=0.844790, loss_local_dom=0.000000, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0141, lr=0.00010000, epoch_time=00:00:03, eta=04:12:00
2026-03-06 01:43:03,520 - INFO - [Epoch 20/3500] loss_total=2.867085, loss_main=2.265267, loss_diff_source=47.453147, loss_label_inv=2.303503, loss_global_dom=0.691886, loss_recon=0.631287, loss_local_dom=0.000000, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0284, lr=0.00009999, epoch_time=00:00:04, eta=04:08:17
2026-03-06 01:43:45,483 - INFO - [Epoch 30/3500] loss_total=1.506823, loss_main=1.008008, loss_diff_source=114.359018, loss_label_inv=2.302626, loss_global_dom=0.687267, loss_recon=0.627814, loss_local_dom=0.250762, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0427, lr=0.00009998, epoch_time=00:00:03, eta=04:05:56
2026-03-06 01:44:29,558 - INFO - [Epoch 40/3500] loss_total=1.079725, loss_main=0.628537, loss_diff_source=116.757505, loss_label_inv=2.302381, loss_global_dom=0.676039, loss_recon=0.575093, loss_local_dom=0.215405, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0569, lr=0.00009997, epoch_time=00:00:04, eta=04:07:27
2026-03-06 01:45:13,836 - INFO - [Epoch 50/3500] loss_total=1.030739, loss_main=0.579658, loss_diff_source=117.986605, loss_label_inv=2.301762, loss_global_dom=0.672032, loss_recon=0.806158, loss_local_dom=0.260203, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0711, lr=0.00009995, epoch_time=00:00:04, eta=04:08:19
2026-03-06 01:45:57,395 - INFO - [Epoch 60/3500] loss_total=0.996038, loss_main=0.559034, loss_diff_source=117.113859, loss_label_inv=2.301574, loss_global_dom=0.665423, loss_recon=0.540111, loss_local_dom=0.199722, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0853, lr=0.00009993, epoch_time=00:00:04, eta=04:07:57
2026-03-06 01:46:41,930 - INFO - [Epoch 70/3500] loss_total=0.925917, loss_main=0.501862, loss_diff_source=117.305204, loss_label_inv=2.301113, loss_global_dom=0.663758, loss_recon=0.517705, loss_local_dom=0.138021, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.0995, lr=0.00009991, epoch_time=00:00:04, eta=04:08:17
2026-03-06 01:47:25,931 - INFO - [Epoch 80/3500] loss_total=0.911232, loss_main=0.478899, loss_diff_source=116.700856, loss_label_inv=2.300143, loss_global_dom=0.666720, loss_recon=0.496709, loss_local_dom=0.231138, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.1136, lr=0.00009988, epoch_time=00:00:04, eta=04:07:58
2026-03-06 01:48:08,958 - INFO - [Epoch 90/3500] loss_total=0.851830, loss_main=0.425262, loss_diff_source=115.466322, loss_label_inv=2.298870, loss_global_dom=0.656586, loss_recon=0.481144, loss_local_dom=0.279483, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.1277, lr=0.00009984, epoch_time=00:00:04, eta=04:06:56
